 '1', '2020CSM1001', 'CS506', '30'
 '1', '2020CSM1002', 'CS527', '31'
 '1', '2020CSM1003', 'CS509', '32'
 '1', '2020CSM1004', 'CS526', '33'
 '1', '2020CSM1005', 'CS503', '34'
 '1', '2020CSM1006', 'CS504', '35'
 '1', '2020CSM1007', 'CS505', '36'
 '1', '2020CSM1008', 'CS507 ', '37'
 '1', '2020CSM1009', 'CS510 ', '38'
 '1', '2020CSM1010', 'CS511 ', '39'
 '1', '2020CSM1011', 'CS512 ', '25'
 '1', '2020CSM1012', 'CS515', '26'
 '1', '2020CSM1013', 'CS516 ', '27'
 '1', '2020CSM1014', 'CS517 ', '28'
 '1', '2020CSM1015', 'CS518 ', '29'
 '1', '2020CSM1016', 'CS519', '30'
 '1', '2021CSM1013', 'CS520', '31'
 '1', '2021CSM1014', 'CS521', '32'
 '1', '2021CSM1015', 'CS522', '33'
 '1', '2021CSM1016', 'CS523', '34'
 '1', '2021CSM1017', 'CS524', '30'
 '1', '2021CSM1018', 'CS525 ', '31'
 '1', '2021CSM1019', 'CS530 ', '32'
 '1', '2021CSM1020', 'CS532 ', '33'
 '1', '2022CSM1003', 'CS533', '34'
 '1', '2022CSM1004', 'CS535', '35'
 '1', '2022CSM1005', 'CS539 ', '36'
 '1', '2022CSM1006', 'CS540', '37'
 '1', '2022CSM1007', 'CS545 ', '38'
 '1', '2022CSM1008', 'CS601 ', '39'
 '1', '2022CSM1009', 'CS602 ', '25'
 '1', '2022CSM1010', 'CS603 ', '26'
 '1', '2022CSM1011', 'CS604', '27'
 '1', '2022CSM1012', 'CS606', '28'
 '1', '2022CSM1013', 'CS607 ', '29'
 '1', '2022CSM1014', 'CS608 ', '30'
 '1', '2022CSM1015', 'CS609', '31'
 '1', '2021CSM1001', 'CS612 ', '32'
 '1', '2021CSM1002', 'CS615', '33'
 '1', '2021CSM1003', 'CS616 ', '34'
 '1', '2021CSM1004', 'CS617', '30'
 '1', '2021CSM1005', 'CS620', '31'
 '1', '2021CSM1006', 'CS621', '32'
 '1', '2021CSM1007', 'CS623 ', '33'
 '1', '2021CSM1008', 'CS622', '34'
 '1', '2021CSM1009', 'CS701 ', '35'
 '1', '2021CSM1010', 'CS702', '36'
 '1', '2021CSM1011', 'CS720', '37'
 '1', '2021CSM1012', 'CS724 ', '38'
