 '1', '2020CSM1001', '3'
 '1', '2020CSM1002', '4'
 '1', '2020CSM1003', '3'
 '1', '2020CSM1004', '4'
 '1', '2020CSM1005', '3'
 '1', '2020CSM1006', '3'
 '1', '2020CSM1007', '3'
 '1', '2020CSM1008', '3'
 '1', '2020CSM1009', '3'
 '1', '2020CSM1010', '3'
 '1', '2020CSM1011', '3'
 '1', '2020CSM1012', '3'
 '1', '2020CSM1013', '3'
 '1', '2020CSM1014', '3'
 '1', '2020CSM1015', '3'
 '1', '2020CSM1016', '3'
 '1', '2021CSM1013', '3'
 '1', '2021CSM1014', '3'
 '1', '2021CSM1015', '3'
 '1', '2021CSM1016', '3'
 '1', '2021CSM1017', '3'
 '1', '2021CSM1018', '3'
 '1', '2021CSM1019', '4'
 '1', '2021CSM1020', '4'
 '1', '2022CSM1003', '4'
 '1', '2022CSM1004', '4'
 '1', '2022CSM1005', '4'
 '1', '2022CSM1006', '3'
 '1', '2022CSM1007', '3'
 '1', '2022CSM1008', '3'
 '1', '2022CSM1009', '3'
 '1', '2022CSM1010', '3'
 '1', '2022CSM1011', '3'
 '1', '2022CSM1012', '3'
 '1', '2022CSM1013', '3'
 '1', '2022CSM1014', '3'
 '1', '2022CSM1015', '4'
 '1', '2021CSM1001', '4'
 '1', '2021CSM1002', '4'
 '1', '2021CSM1003', '4'
 '1', '2021CSM1004', '4'
 '1', '2021CSM1005', '3'
 '1', '2021CSM1006', '3'
 '1', '2021CSM1007', '3'
 '1', '2021CSM1008', '3'
 '1', '2021CSM1009', '3'
 '1', '2021CSM1010', '4'
 '1', '2021CSM1011', '4'
 '1', '2021CSM1012', '4'
